total: 1240
{'title'} -> {'references', 'cite', 'url'}: 0.82
{'url'} -> {'title', 'cite', 'references'}: 0.86
{'references'} -> {'title', 'cite', 'url'}: 0.77
{'cite'} -> {'title', 'references', 'url'}: 0.92
{'title', 'url'} -> {'cite', 'references'}: 0.94
{'title', 'references'} -> {'cite', 'url'}: 0.95
{'title', 'cite'} -> {'references', 'url'}: 0.93
{'url', 'references'} -> {'title', 'cite'}: 0.96
{'url', 'cite'} -> {'title', 'references'}: 0.94
{'references', 'cite'} -> {'title', 'url'}: 0.99
{'title'} -> {'https', 'cite', 'url'}: 0.81
{'url'} -> {'title', 'https', 'cite'}: 0.86
{'https'} -> {'title', 'cite', 'url'}: 0.87
{'cite'} -> {'title', 'https', 'url'}: 0.92
{'title', 'url'} -> {'https', 'cite'}: 0.93
{'title', 'https'} -> {'cite', 'url'}: 0.98
{'title', 'cite'} -> {'https', 'url'}: 0.92
{'https', 'url'} -> {'title', 'cite'}: 0.94
{'url', 'cite'} -> {'title', 'https'}: 0.94
{'https', 'cite'} -> {'title', 'url'}: 1.00
{'title'} -> {'web', 'cite', 'url'}: 0.80
{'url'} -> {'title', 'web', 'cite'}: 0.84
{'web'} -> {'title', 'cite', 'url'}: 0.86
{'cite'} -> {'title', 'web', 'url'}: 0.90
{'title', 'url'} -> {'web', 'cite'}: 0.91
{'title', 'web'} -> {'cite', 'url'}: 0.99
{'title', 'cite'} -> {'web', 'url'}: 0.90
{'web', 'url'} -> {'title', 'cite'}: 0.93
{'url', 'cite'} -> {'title', 'web'}: 0.92
{'web', 'cite'} -> {'title', 'url'}: 1.00
{'title'} -> {'cite', 'date', 'url'}: 0.79
{'url'} -> {'title', 'date', 'cite'}: 0.83
{'date'} -> {'title', 'cite', 'url'}: 0.80
{'cite'} -> {'title', 'date', 'url'}: 0.89
{'title', 'url'} -> {'date', 'cite'}: 0.90
{'title', 'date'} -> {'cite', 'url'}: 0.96
{'title', 'cite'} -> {'date', 'url'}: 0.89
{'date', 'url'} -> {'title', 'cite'}: 0.93
{'url', 'cite'} -> {'title', 'date'}: 0.91
{'date', 'cite'} -> {'title', 'url'}: 0.99
{'title'} -> {'www', 'cite', 'url'}: 0.79
{'url'} -> {'title', 'cite', 'www'}: 0.83
{'www'} -> {'title', 'cite', 'url'}: 0.84
{'cite'} -> {'title', 'www', 'url'}: 0.89
{'title', 'url'} -> {'cite', 'www'}: 0.90
{'title', 'www'} -> {'cite', 'url'}: 0.96
{'title', 'cite'} -> {'www', 'url'}: 0.89
{'www', 'url'} -> {'title', 'cite'}: 0.94
{'url', 'cite'} -> {'title', 'www'}: 0.91
{'www', 'cite'} -> {'title', 'url'}: 0.99
{'title'} -> {'references', 'https', 'url'}: 0.78
{'url'} -> {'title', 'https', 'references'}: 0.82
{'https'} -> {'title', 'references', 'url'}: 0.84
{'references'} -> {'title', 'https', 'url'}: 0.73
{'title', 'url'} -> {'https', 'references'}: 0.89
{'title', 'https'} -> {'references', 'url'}: 0.94
{'title', 'references'} -> {'https', 'url'}: 0.91
{'https', 'url'} -> {'title', 'references'}: 0.90
{'url', 'references'} -> {'title', 'https'}: 0.91
{'https', 'references'} -> {'title', 'url'}: 0.92
{'references'} -> {'title', 'https', 'cite'}: 0.73
{'title'} -> {'https', 'cite', 'references'}: 0.77
{'https'} -> {'title', 'cite', 'references'}: 0.83
{'cite'} -> {'title', 'https', 'references'}: 0.87
{'title', 'references'} -> {'https', 'cite'}: 0.90
{'https', 'references'} -> {'title', 'cite'}: 0.91
{'references', 'cite'} -> {'title', 'https'}: 0.93
{'title', 'https'} -> {'cite', 'references'}: 0.93
{'title', 'cite'} -> {'https', 'references'}: 0.88
{'https', 'cite'} -> {'title', 'references'}: 0.95
{'web'} -> {'https', 'date', 'url'}: 0.83
{'https'} -> {'web', 'date', 'url'}: 0.83
{'date'} -> {'url', 'web', 'https'}: 0.78
{'url'} -> {'web', 'date', 'https'}: 0.82
{'https', 'web'} -> {'date', 'url'}: 0.95
{'web', 'date'} -> {'https', 'url'}: 0.97
{'web', 'url'} -> {'https', 'date'}: 0.90
{'https', 'date'} -> {'web', 'url'}: 0.94
{'https', 'url'} -> {'web', 'date'}: 0.89
{'date', 'url'} -> {'web', 'https'}: 0.91
{'title'} -> {'https', 'date', 'url'}: 0.77
{'https'} -> {'title', 'date', 'url'}: 0.83
{'date'} -> {'title', 'https', 'url'}: 0.78
{'url'} -> {'title', 'https', 'date'}: 0.81
{'title', 'https'} -> {'date', 'url'}: 0.93
{'title', 'date'} -> {'https', 'url'}: 0.94
{'title', 'url'} -> {'https', 'date'}: 0.88
{'https', 'date'} -> {'title', 'url'}: 0.93
{'https', 'url'} -> {'title', 'date'}: 0.89
{'date', 'url'} -> {'title', 'https'}: 0.91
{'references'} -> {'https', 'cite', 'url'}: 0.73
